Date;day;0,4m vorne I;0,4m vorne II;1m hinten I;1m hinten II;2m I;2m II;4,4m I;4,4m II;Sum
28.12.2020;0;;;;;;;;;0
29.12.2020;1;;;;;;;;;0
30.12.2020;2;;;;;;;;;0
31.12.2020;3;;;;;;;;;0
1.1.2021;4;;2;1;;;1;;1;5
2.1.2021;5;1;2;1;;;2;1;1;8
3.1.2021;6;1;2;1;;;2;1;1;8
4.1.2021;7;;;;;;;;;0
5.1.2021;8;;;;;;;;;0
6.1.2021;9;;;;;;;;;0
7.1.2021;10;;;;;;;;;0
8.1.2021;11;;;;;;;;;0
9.1.2021;12;;;;;;;;;0
10.1.2021;13;;;;;;;;;0
11.1.2021;14;;;;;;;;;0
12.1.2021;15;;;;;;;;;0
13.1.2021;16;;;;;;;;;0
14.1.2021;17;;;;;;;;;0
15.1.2021;18;;;;;;;;;0
16.1.2021;19;;;;;;;;;0
17.1.2021;20;;;;;;;;;0
